school,org_id,url,playerstatsurl,matchstatsurl
North Carolina,457,https://goheels.com/sports/field-hockey,https://stats.ncaa.org/team/457/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=457&game_sport_year_ctl_id=16461&stats_player_seq=-100
Northeastern,500,https://nuhuskies.com/sports/field-hockey,https://stats.ncaa.org/team/500/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=500&game_sport_year_ctl_id=16461&stats_player_seq=-100
Northwestern,509,https://nusports.com/sports/field-hockey,https://stats.ncaa.org/team/509/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=509&game_sport_year_ctl_id=16461&stats_player_seq=-100
Ohio,519,https://ohiobobcats.com/sports/fhockey,https://stats.ncaa.org/team/519/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=519&game_sport_year_ctl_id=16461&stats_player_seq=-100
Ohio St.,518,https://ohiostatebuckeyes.com/sports/field-hockey,https://stats.ncaa.org/team/518/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=518&game_sport_year_ctl_id=16461&stats_player_seq=-100
Old Dominion,523,https://odusports.com/sports/field-hockey,https://stats.ncaa.org/team/523/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=523&game_sport_year_ctl_id=16461&stats_player_seq=-100
Penn,540,https://pennathletics.com/sports/field-hockey,https://stats.ncaa.org/team/540/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=540&game_sport_year_ctl_id=16461&stats_player_seq=-100
Penn St.,539,https://gopsusports.com/sports/field-hockey,https://stats.ncaa.org/team/539/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=539&game_sport_year_ctl_id=16461&stats_player_seq=-100
Princeton,554,https://goprincetontigers.com/sports/field-hockey,https://stats.ncaa.org/team/554/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=554&game_sport_year_ctl_id=16461&stats_player_seq=-100
Providence,556,https://friars.com/sports/field-hockey,https://stats.ncaa.org/team/556/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=556&game_sport_year_ctl_id=16461&stats_player_seq=-100
Queens (NC),11504,https://queensathletics.com/sports/field-hockey,https://stats.ncaa.org/team/11504/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=11504&game_sport_year_ctl_id=16461&stats_player_seq=-100
Quinnipiac,562,https://gobobcats.com/sports/field-hockey,https://stats.ncaa.org/team/562/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=562&game_sport_year_ctl_id=16461&stats_player_seq=-100
Richmond,575,https://richmondspiders.com/sports/field-hockey,https://stats.ncaa.org/team/575/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=575&game_sport_year_ctl_id=16461&stats_player_seq=-100
Rider,576,https://gobroncs.com/sports/field-hockey,https://stats.ncaa.org/team/576/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=576&game_sport_year_ctl_id=16461&stats_player_seq=-100
Rutgers,587,https://scarletknights.com/sports/field-hockey,https://stats.ncaa.org/team/587/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=587&game_sport_year_ctl_id=16461&stats_player_seq=-100
Sacred Heart,590,https://sacredheartpioneers.com/sports/field-hockey,https://stats.ncaa.org/team/590/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=590&game_sport_year_ctl_id=16461&stats_player_seq=-100
Saint Francis (PA),600,https://sfuathletics.com/sports/field-hockey,https://stats.ncaa.org/team/600/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=600&game_sport_year_ctl_id=16461&stats_player_seq=-100
Saint Joseph's,606,https://sjuhawks.com/sports/field-hockey,https://stats.ncaa.org/team/606/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=606&game_sport_year_ctl_id=16461&stats_player_seq=-100
Saint Louis,609,https://slubillikens.com/sports/field-hockey,https://stats.ncaa.org/team/609/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=609&game_sport_year_ctl_id=16461&stats_player_seq=-100
Stanford,674,https://gostanford.com/sports/field-hockey,https://stats.ncaa.org/team/674/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=674&game_sport_year_ctl_id=16461&stats_player_seq=-100
Stonehill,682,https://stonehillskyhawks.com/sports/field-hockey,https://stats.ncaa.org/team/682/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=682&game_sport_year_ctl_id=16461&stats_player_seq=-100
Syracuse,688,https://cuse.com/sports/field-hockey,https://stats.ncaa.org/team/688/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=688&game_sport_year_ctl_id=16461&stats_player_seq=-100
Temple,690,https://owlsports.com/sports/field-hockey,https://stats.ncaa.org/team/690/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=690&game_sport_year_ctl_id=16461&stats_player_seq=-100
Towson,711,https://towsontigers.com/sports/field-hockey,https://stats.ncaa.org/team/711/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=711&game_sport_year_ctl_id=16461&stats_player_seq=-100
UAlbany,14,https://ualbanysports.com/sports/field-hockey,https://stats.ncaa.org/team/14/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=14&game_sport_year_ctl_id=16461&stats_player_seq=-100
UC Davis,108,https://ucdavisaggies.com/sports/field-hockey,https://stats.ncaa.org/team/108/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=108&game_sport_year_ctl_id=16461&stats_player_seq=-100
UConn,164,https://uconnhuskies.com/sports/field-hockey,https://stats.ncaa.org/team/164/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=164&game_sport_year_ctl_id=16461&stats_player_seq=-100
UMass Lowell,368,https://goriverhawks.com/sports/field-hockey,https://stats.ncaa.org/team/368/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=368&game_sport_year_ctl_id=16461&stats_player_seq=-100
VCU,740,https://vcuathletics.com/sports/field-hockey,https://stats.ncaa.org/team/740/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=740&game_sport_year_ctl_id=16461&stats_player_seq=-100
Vermont,738,https://uvmathletics.com/sports/field-hockey,https://stats.ncaa.org/team/738/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=738&game_sport_year_ctl_id=16461&stats_player_seq=-100
Villanova,739,https://villanova.com/sports/field-hockey,https://stats.ncaa.org/team/739/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=739&game_sport_year_ctl_id=16461&stats_player_seq=-100
Virginia,746,https://virginiasports.com/sports/fhockey/,https://stats.ncaa.org/team/746/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=746&game_sport_year_ctl_id=16461&stats_player_seq=-100
Wagner,748,https://wagnerathletics.com/sports/field-hockey,https://stats.ncaa.org/team/748/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=748&game_sport_year_ctl_id=16461&stats_player_seq=-100
Wake Forest,749,https://godeacs.com/sports/field-hockey/,https://stats.ncaa.org/team/749/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=749&game_sport_year_ctl_id=16461&stats_player_seq=-100
William & Mary,786,https://tribeathletics.com/sports/field-hockey,https://stats.ncaa.org/team/786/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=786&game_sport_year_ctl_id=16461&stats_player_seq=-100
Yale,813,https://yalebulldogs.com/sports/field-hockey,https://stats.ncaa.org/team/813/stats/16461,https://stats.ncaa.org/player/game_by_game?org_id=813&game_sport_year_ctl_id=16461&stats_player_seq=-100
